order;NL;kw;la
69;[116, 120, 129];2;4.8508114947
173;[5, 137, 138, 197];6;6.2364964712
170;[46, 91, 106];2;4.8508114947
189;[13, 14, 55, 123, 134, 265];12;5.5439586753
196;[27, 40, 41, 75];6;6.2364964712
202;[3, 91, 107, 115, 126];9;6.2364964712
203;[1, 21, 26, 317];6;6.2364964712
209;[13, 42, 185, 244, 276];10;6.2364964712
210;[104, 111, 133, 217, 218, 228, 242, 297];25;6.2364964712
212;[30, 57, 205, 208, 301];10;6.2364964712
213;[21, 25, 74, 148, 150, 152, 154, 166];18;4.7454509791
214;[8, 9, 10, 132, 140, 144, 171, 204, 257, 264, 271, 272, 280, 286, 287, 298, 300, 302, 304];68;3.7424430311
215;[15, 144, 165, 268, 277];7;5.0049621746
216;[15, 16, 75, 191];5;5.7671022266
